"coefficient","k","ARI","ARI_batch","NMI","NMI_batch"
"pearson",2,0.210275203047761,0.208983646573995,0.560275319306238,0.5676596670504
"pearson",5,0.394796768405116,0.387223541414053,0.61534566356895,0.610946595300035
"pearson",10,0.422006061948744,0.431914843991611,0.584526857498419,0.601843486414801
"pearson",20,0.386343113032844,0.383401197253093,0.510622281971875,0.508395121739798
"pearson",50,0.348094704104341,0.337406216144206,0.457031887624048,0.441774297258953
"phi_s",2,0.344878519893196,0.371719650080587,0.720462045831284,0.731818899159766
"phi_s",5,0.739191848663405,0.688050315530556,0.889358375125452,0.867001746772024
"phi_s",10,0.723264182859524,0.723264182859524,0.859022307774368,0.859022307774368
"phi_s",20,0.733315879172538,0.733315879172538,0.864132982114308,0.864132982114308
"phi_s",50,0.688700672019866,0.688700672019866,0.839419535771745,0.839419535771745
"rho_p",2,0.409599909269904,0.404681019445563,0.753310390602477,0.751887036447962
"rho_p",5,0.691777501938604,0.691777501938604,0.863042610077222,0.863042610077222
"rho_p",10,0.723264182859524,0.723264182859524,0.859022307774368,0.859022307774368
"rho_p",20,0.730524234231576,0.736161296231511,0.860717483009135,0.868833261578566
"rho_p",50,0.678819654565448,0.678819654565448,0.83467243383351,0.83467243383351
"spearman",2,0.269179911114087,0.269179911114087,0.670842140552991,0.670842140552991
"spearman",5,0.434315400588696,0.463115881094678,0.74937587015466,0.75956219559896
"spearman",10,0.529363470801942,0.530606408411564,0.776465500136109,0.776838364347364
"spearman",20,0.589344912976415,0.594060314831278,0.768835510100261,0.769539257399496
"spearman",50,0.460986495911632,0.460986495911632,0.650267826583149,0.650267826583149
